Topic_Order;Micro_Topic;Level;Level_Name;Function_Name;Trap1_Message;Trap2_Message;Trap3_Message
10;Zamiana ułamków;1;Z ułamka dziesiętnego na zwykły;dec_to_frac_1;Zły mianownik! Jedno miejsce po przecinku to 10 na dole. Dwa miejsca to 100, trzy to 1000. Policz zera!;Zapomniałeś o całościach z przodu!;Podałeś złą liczbę w liczniku. Wpisz dokładnie to samo co po przecinku.
10;Zamiana ułamków;2;Ze zwykłego na dziesiętny (mianowniki 10, 100);dec_to_frac_2;Brakuje zera! Liczba zer w mianowniku to DOKŁADNIE liczba miejsc, które musisz zająć po przecinku.;Masz za dużo miejsc po przecinku. Spójrz na ilość zer na dole ułamka zwykłego.;Podałeś błędną cyfrę z licznika.
10;Zamiana ułamków;3;Ze zwykłego na dziesiętny (rozszerzanie 2, 4, 5);dec_to_frac_3;Zanim zapiszesz przecinek, musisz rozszerzyć ułamek tak, aby na dole było 10, 100 lub 1000!;Zły wynik - zapomniałeś, by pomnożyć też górę!;Zły wynik - ułamek rozszerza się przez odpowiednią liczbę.
10;Zamiana ułamków;4;Ze zwykłego na dziesiętny (dzielenie);dec_to_frac_4;Ten ułamek nie rozszerza się łatwo. Najlepszy sposób to po prostu podzielić pisemnie licznik przez mianownik (Góra ÷ Dół).;Błąd w dzieleniu.;Brak przecinka.
20;Porównywanie;1;Różne cyfry, te same pozycje;dec_compare_1;Spójrz najpierw na najwyższy rząd (całości, potem części dziesiąte). Cyfra z przodu ma zawsze największą wagę!;;
20;Porównywanie;2;Różna liczba miejsc po przecinku;dec_compare_2;Dałeś się złapać! 'Dłuższa' liczba wcale nie jest większa. Dopisz niewidzialne zera na końcu, aby obie liczby miały tyle samo miejsc po przecinku, i porównaj jeszcze raz.;;
20;Porównywanie;3;Zdradliwe zera;dec_compare_3;Pamiętaj, zero zaraz po przecinku jest bardzo ważne (zmniejsza ułamek), ale zera na samym końcu można wykreślić!;;
30;Oś liczbowa;1;Oś co 0.1;dec_number_line_1;Pomyłka! Zobacz na przedział i policz wszystkie przerwy. Każdy skok to jedna dziesiąta (0.1).;;
30;Oś liczbowa;2;Oś co 0.01;dec_number_line_2;Pomyłka! Jesteś między 0.1 a 0.2. Każdy mały skok to jedna setna (0.01).;;
30;Oś liczbowa;3;Oś co 0.2 lub podobne;dec_number_line_3;Uwaga! Odstępy na osi nie zawsze wynoszą 1. Zobacz ile kresek dzieli pełną jedność, by odkryć wielkość jednego małego skoku.;;
30;Oś liczbowa;4;Duży odstęp;dec_number_line_4;Oblicz szerokość przedziału (np. 1.0 - 0.5) i podziel przez liczbę skoków (odstępów).;;
30;Oś liczbowa;5;Duży odstęp cz. 2;dec_number_line_5;Najpierw policz odstępy, później odejmij skrajne wartości, na końcu podziel.;;
30;Oś liczbowa;6;Dziwne przedziały;dec_number_line_6;To bardzo podstępna oś. Ustal, ile wynosi dokładnie jeden skok.;;
40;Zaokrąglanie;1;Do całości;dec_round_1;Zapomniałeś o regule '5 i więcej'! Spójrz na cyfrę po przecinku. Jeśli to 5, 6, 7, 8 lub 9, musisz powiększyć całość o jeden w górę.;Pomyłka! Jeśli cyfra to 4, 3, 2, 1, 0 - nic nie powiększamy, po prostu ucina się to, co jest za nią.;
40;Zaokrąglanie;2;Do części dziesiątych;dec_round_2;Masz zaokrąglić do części dziesiątych (jedno miejsce po przecinku)! Zatem patrzysz TYLKO na drugą cyfrę po przecinku, by zdecydować co zrobić z pierwszą.;Skreśliłeś źle. Zostaw tylko jedną cyfrę po przecinku.;
40;Zaokrąglanie;3;Zdradliwa dziewiątka;dec_round_3;Uwaga! Gdy zaokrąglasz 9 w górę, staje się ona dziesiątką, co oznacza, że musisz przepchnąć 'jeden' do jeszcze wyższego rzędu (efekt domina).;;
50;Dodawanie;1;Bez przekroczenia rzędu;dec_add_1;Źle podstawiłeś przecinek w pamięci! Złota zasada dodawania to: Przecinek pod przecinkiem.;Błąd w sumowaniu liczb. Spróbuj dodać jeszcze raz.;Zapomniałeś o przecinku.
50;Dodawanie;2;Z przekroczeniem rzędu;dec_add_2;Zapomniałeś przenieść '1' do wyższego rzędu!;Przecinek nie jest w odpowiednim miejscu. Pamiętaj: przecinek opada idealnie w dół pod inne przecinki.;Błąd rachunkowy. Spróbuj powoli.
50;Dodawanie;3;Różna liczba miejsc (np. 1.2 + 0.05);dec_add_3;Błąd dodawania różnej długości liczb! Zanim dodasz, wyrównaj je. Dopisz '0' na końcu krótszej liczby (np. zrób z 1.2 -> 1.20).;Przecinek jest ułożony źle. W działaniach pisemnych przecinek absolutnie musi stać nad przecinkiem.;Błąd sumowania.
60;Odejmowanie;1;Bez pożyczania;dec_sub_1;Przecinek uciekł w złe miejsce! W odejmowaniu pisemnym zasada to przecinek idealnie pod przecinkiem.;Odjąłeś w drugą stronę (od dolnej liczby górną)! Zawsze odejmujemy od góry.;Błąd w obliczeniach.
